,연번,상호명,영업소소재지(도로명),게임기종류,게임기수,업종명,데이터기준일자,lat,lon
0,1,아트 PC,"인천광역시 남동구 장승남로 70-11, 204,205,206호 (만수동, 현대아파트상가동)",PC,80,인터넷컴퓨터게임시설제공업,2024-02-22,,
1,2,라피에스타 PC카페(논현2호점),"인천광역시 남동구 청능대로718번길 9, B01호 (논현동, 소래마을풍림아파트 상가)",PC,60,인터넷컴퓨터게임시설제공업,2024-02-22,126.737271172168,37.4058907780201
2,3,5 STAR PC,"인천광역시 남동구 담방로48번길 16 (만수동,(3층))",PC,100,인터넷컴퓨터게임시설제공업,2024-02-22,126.739909801867,37.4437602424112
3,4,몰라 PC방,"인천광역시 남동구 문화서로 21 (구월동,(2층))",PC,38,인터넷컴퓨터게임시설제공업,2024-02-22,126.695903384492,37.4472114127787
4,5,5 STAR PC cafe,"인천광역시 남동구 백범로 322, 지하1층호 (간석동)",PC,110,인터넷컴퓨터게임시설제공업,2024-02-22,126.71456678891,37.4641431562398
5,6,3POP PC,"인천광역시 남동구 인주대로 507 (구월동,(4층))",PC,100,인터넷컴퓨터게임시설제공업,2024-02-22,126.693026226144,37.4507900869195
6,7,노블 PC방,"인천광역시 남동구 장승남로 66, 현대프라자 2층 201~202호 (만수동)",PC,256,인터넷컴퓨터게임시설제공업,2024-02-22,126.739571254289,37.4432018604165
7,8,쓰리제이 PC방,"인천광역시 남동구 만수로 107 (만수동,지층)",PC,104,인터넷컴퓨터게임시설제공업,2024-02-22,126.737730487091,37.4647402346886
8,9,라이또 PC방,"인천광역시 남동구 만수로 116, 202.203호 (만수동)",PC,51,인터넷컴퓨터게임시설제공업,2024-02-22,,
9,10,조이 PC방,"인천광역시 남동구 만수로 63, 503호 (만수동)",PC,52,인터넷컴퓨터게임시설제공업,2024-02-22,126.73479343045,37.4614226509063
10,11,하늘다리 PC,"인천광역시 남동구 남촌동로3번길 33 (남촌동,(2층))",PC,50,인터넷컴퓨터게임시설제공업,2024-02-22,126.716076950559,37.4311568993055
11,12,시즌아이 PC방(논현점),"인천광역시 남동구 논고개로 117,  501호 (논현동)",PC,65,인터넷컴퓨터게임시설제공업,2024-02-22,126.723860612436,37.4016891352008
12,13,유니드 PC,"인천광역시 남동구 구월남로 331, 201호 (만수동)",PC,59,인터넷컴퓨터게임시설제공업,2024-02-22,126.726552000753,37.4520135414072
13,14,Project PC,"인천광역시 남동구 논고개로123번길 35, 507호 (논현동,칼리오페)",PC,80,인터넷컴퓨터게임시설제공업,2024-02-22,126.722065821029,37.4015165296659
14,15,놀이터 PC방,"인천광역시 남동구 백범로 216  (만수동,나호 2층)",PC,144,인터넷컴퓨터게임시설제공업,2024-02-22,126.725317779562,37.4603780897917
15,16,놀2 PC방,"인천광역시 남동구 구월로 359 (만수동,(3층))",PC,150,인터넷컴퓨터게임시설제공업,2024-02-22,126.730864130531,37.4552718533875
16,17,졸라빨라 PC,"인천광역시 남동구 석촌로 43 (간석동,(2층))",PC,73,인터넷컴퓨터게임시설제공업,2024-02-22,126.708788468985,37.4645116260915
17,18,유니넷 PC(남촌점),"인천광역시 남동구 남촌동로35번길 3 (남촌동,(2층))",PC,50,인터넷컴퓨터게임시설제공업,2024-02-22,126.714840524936,37.431967448279
18,19,이에프씨(EFC high-end pc카페),"인천광역시 남동구 만수서로 52, 401.402호 (만수동,쓰리제이프라자)",PC,131,인터넷컴퓨터게임시설제공업,2024-02-22,,
19,20,대박골드 PC,"인천광역시 남동구 구월남로 321, 한양빌딩 2층 (구월동)",PC,8,인터넷컴퓨터게임시설제공업,2024-02-22,126.725498237882,37.4520114589815
20,21,황토 PC,"인천광역시 남동구 구월말로 16, 1층 (구월동)",PC,6,인터넷컴퓨터게임시설제공업,2024-02-22,126.724619293254,37.4503190277663
21,22,신PC,"인천광역시 남동구 남동대로 924, 1층 13호 (간석동)",PC,6,인터넷컴퓨터게임시설제공업,2024-02-22,126.708491685298,37.464906797462
22,23,Best PC & Cafe,"인천광역시 남동구 남동대로747번길 7, 2층 (구월동)",PC,71,인터넷컴퓨터게임시설제공업,2024-02-22,126.706899307919,37.4489871545544
23,24,골드 PC방,"인천광역시 남동구 남동대로916번길 23, 101호 (간석동)",PC,7,인터넷컴퓨터게임시설제공업,2024-02-22,126.709657703219,37.4642221085128
24,25,진 PC방,"인천광역시 남동구 논현로 40, 401,402호 (논현동, THE CLASS PLAZA)",PC,143,인터넷컴퓨터게임시설제공업,2024-02-22,,
25,26,탑플레이스 PC방 논현본점,"인천광역시 남동구 소래역로 50, 403,404호 (논현동, 토성프라자)",PC,80,인터넷컴퓨터게임시설제공업,2024-02-22,,
26,27,놀이터PC 2호점,"인천광역시 남동구 구월로 301, 2층 (만수동, 주건축물제1동)",PC,157,인터넷컴퓨터게임시설제공업,2024-02-22,126.72424700245,37.4558354077482
27,28,더원 PC,"인천광역시 남동구 논고개로123번길 17, 811, 812호 (논현동)",PC,194,인터넷컴퓨터게임시설제공업,2024-02-22,,
28,29,스타 PC,"인천광역시 남동구 에코중앙로156번길 5-8, 2,3층 (논현동)",PC,64,인터넷컴퓨터게임시설제공업,2024-02-22,126.726384883705,37.3913042696066
29,30,PLUS PC방,"인천광역시 남동구 소래역로 42, 4층 401~403호 (논현동)",PC,165,인터넷컴퓨터게임시설제공업,2024-02-22,126.734958326094,37.4008288308108
30,31,스위티PC방,"인천광역시 남동구 호구포로 212, 502,503호 (논현동)",PC,71,인터넷컴퓨터게임시설제공업,2024-02-22,,
31,32,그레이 PC방,"인천광역시 남동구 백범로 404, 2층 208,209호 (간석동)",PC,83,인터넷컴퓨터게임시설제공업,2024-02-22,126.70655380206,37.467709001966
32,33,레드포스PC아레나 구월동점,"인천광역시 남동구 구월남로 280, 4층 (구월동, 알파프라자)",PC,190,인터넷컴퓨터게임시설제공업,2024-02-22,126.720795696779,37.4519553024086
33,34,T앤PC cafe,"인천광역시 남동구 논고개로 309, 3층 (도림동)",PC,60,인터넷컴퓨터게임시설제공업,2024-02-22,126.728033567684,37.4179685652229
34,35,민트PC,"인천광역시 남동구 문화서로23번길 12, 2층 (구월동)",PC,47,인터넷컴퓨터게임시설제공업,2024-02-22,126.695579043407,37.4477700154268
35,36,메종드 PC,"인천광역시 남동구 남촌동로25번길 11, 2층 (남촌동)",PC,58,인터넷컴퓨터게임시설제공업,2024-02-22,126.715994357022,37.4316057661202
36,37,라피에스타 PC,"인천광역시 남동구 논고개로 61, 510~512호 (논현동, 라피에스타)",PC,231,인터넷컴퓨터게임시설제공업,2024-02-22,,
37,38,아레나 PC방,"인천광역시 남동구 구월남로 198, 2층호 (구월동, 트인프라자)",PC,226,인터넷컴퓨터게임시설제공업,2024-02-22,126.711443230735,37.4526267057924
38,39,원센스PC방,"인천광역시 남동구 용천로17번길 55, 2층호 (구월동)",PC,60,인터넷컴퓨터게임시설제공업,2024-02-22,126.710997757559,37.4510879528196
39,40,5 Star PC,"인천광역시 남동구 선수촌공원로 37, 3층 303~305호 (구월동, 중앙프라자(상업5-3,5-4))",PC,196,인터넷컴퓨터게임시설제공업,2024-02-22,126.709780161232,37.4421564883151
40,41,JoinPC,"인천광역시 남동구 구월말로 32, 1층 동쪽끝호 (구월동)",PC,6,인터넷컴퓨터게임시설제공업,2024-02-22,126.724797901783,37.4517872806133
41,42,JIN PC,"인천광역시 남동구 백범로 406, B01호 (간석동)",PC,66,인터넷컴퓨터게임시설제공업,2024-02-22,126.70609461193,37.4676850652585
42,43,제닉스 아레나 PC,"인천광역시 남동구 앵고개로847번길 72, 303호 (논현동, 논현시티)",PC,120,인터넷컴퓨터게임시설제공업,2024-02-22,126.724362176773,37.3990086939564
43,44,탐스 PC방,"인천광역시 남동구 호구포로 921, B01호 (간석동, 청산빌딩)",PC,70,인터넷컴퓨터게임시설제공업,2024-02-22,126.720547437623,37.4647627483738
44,45,꿀 PC,"인천광역시 남동구 백범로157번길 31, 102호 (만수동)",PC,9,인터넷컴퓨터게임시설제공업,2024-02-22,126.729934503271,37.4554037129064
45,46,아이센스 PC방(인천논현점),"인천광역시 남동구 논고개로123번길 17, 301~302호 (논현동, 아이플렉스)",PC,121,인터넷컴퓨터게임시설제공업,2024-02-22,,
46,47,에이스 PC,"인천광역시 남동구 문화로 69-1, 1층일부호 (구월동)",PC,6,인터넷컴퓨터게임시설제공업,2024-02-22,126.698796742499,37.4454428389641
47,48,벨류 PC,"인천광역시 남동구 예술로204번길 19, 201,202호 (구월동, 구월프라움아트)",PC,125,인터넷컴퓨터게임시설제공업,2024-02-22,,
48,49,따자PC,"인천광역시 남동구 장승남로69번길 19, 2층호 (만수동)",PC,8,인터넷컴퓨터게임시설제공업,2024-02-22,126.7399678851,37.4443809874368
49,50,리워드 PC,"인천광역시 남동구 청능대로 581, 109호 (논현동)",PC,7,인터넷컴퓨터게임시설제공업,2024-02-22,126.723589034977,37.4012767352312
50,51,희망PC,"인천광역시 남동구 하촌서로 67, 1층 일부호 (만수동)",PC,6,인터넷컴퓨터게임시설제공업,2024-02-22,126.729926748941,37.4547313612536
51,52,짱 PC클럽,"인천광역시 남동구 백범로 353, 1층 1층일부 5호 (간석동)",PC,6,인터넷컴퓨터게임시설제공업,2024-02-22,126.711315626401,37.4651540289215
52,53,골프 PC,"인천광역시 남동구 앵고개로948번길 54, 1층 101,102호 (논현동, 굿모닝타워)",PC,10,인터넷컴퓨터게임시설제공업,2024-02-22,126.736525267779,37.4004064212038
53,54,놀러와 PC,"인천광역시 남동구 복개동로 62, 1층일부호 (만수동)",PC,7,인터넷컴퓨터게임시설제공업,2024-02-22,126.725661420284,37.4532221654945
54,55,여우 PC,"인천광역시 남동구 남촌동로 23-1, 202호 (남촌동)",PC,5,인터넷컴퓨터게임시설제공업,2024-02-22,126.716278775263,37.4315973488876
55,56,대박 PC,"인천광역시 남동구 복개동로 42, 104호 (만수동)",PC,5,인터넷컴퓨터게임시설제공업,2024-02-22,126.726248765292,37.4517064056445
56,57,신대박 PC방,"인천광역시 남동구 백범로227번길 82, 116호 (만수동, 효성상아아파트상가)",PC,6,인터넷컴퓨터게임시설제공업,2024-02-22,126.723284730179,37.4565707253698
57,58,땁 PC,"인천광역시 남동구 소래역로 36, 112호 (논현동)",PC,7,인터넷컴퓨터게임시설제공업,2024-02-22,126.735462609054,37.4003132258351
58,59,맥스피드 PC방(만수점),"인천광역시 남동구 구월로 362, 401호 (만수동)",PC,90,인터넷컴퓨터게임시설제공업,2024-02-22,126.730840567778,37.4548454416127
59,60,돼지 PC,"인천광역시 남동구 인주대로591번길 64, 203호 (구월동)",PC,6,인터넷컴퓨터게임시설제공업,2024-02-22,126.70316008383,37.4529868682173
60,61,킹덤 PC,"인천광역시 남동구 석산로 159, 404호 (간석동)",PC,126,인터넷컴퓨터게임시설제공업,2024-02-22,126.70976019695,37.4607205894908
61,62,에이스 PC,"인천광역시 남동구 남촌동로 31, 101호 (남촌동)",PC,6,인터넷컴퓨터게임시설제공업,2024-02-22,126.71526562966,37.4318950404228
62,63,하이 PC 2호점,"인천광역시 남동구 인하로489번길 28, 로데오프라자21 701호 (구월동)",PC,91,인터넷컴퓨터게임시설제공업,2024-02-22,126.701480649521,37.4448481331132
63,64,대박 PC,"인천광역시 남동구 경인로 586-1, 103호 (간석동)",PC,5,인터넷컴퓨터게임시설제공업,2024-02-22,126.703076519157,37.4642040435723
64,65,놀러와 PC,"인천광역시 남동구 백범로 332-1, 1층일부호 (간석동)",PC,6,인터넷컴퓨터게임시설제공업,2024-02-22,126.713559338871,37.4645789691177
65,66,바카스 PC,"인천광역시 남동구 경인로 598, 병규빌딩 1층 102호 (간석동)",PC,7,인터넷컴퓨터게임시설제공업,2024-02-22,126.704387082503,37.4645690841873
66,67,승리 PC,"인천광역시 남동구 백범로 221, 302-1호 (만수동)",PC,10,인터넷컴퓨터게임시설제공업,2024-02-22,,
67,68,로또 PC,"인천광역시 남동구 남동대로916번길 32, 1층일부호 (간석동)",PC,6,인터넷컴퓨터게임시설제공업,2024-02-22,126.710026734004,37.4638492762694
68,69,바닐라 PC,"인천광역시 남동구 구월말로 66, 1층 왼쪽호 (만수동)",PC,6,인터넷컴퓨터게임시설제공업,2024-02-22,126.725137137912,37.454794021424
69,70,일등PC,"인천광역시 남동구 구월남로 275-1, 1층 2호 (구월동)",PC,6,인터넷컴퓨터게임시설제공업,2024-02-22,126.720373057677,37.4523381337149
70,71,아이비스 PC,"인천광역시 남동구 석정로 578, 두성빌딩 2층호 (간석동)",PC,95,인터넷컴퓨터게임시설제공업,2024-02-22,126.699495135362,37.4671064180434
71,72,스타PC,"인천광역시 남동구 복개서로 29, 명진빌딩 1층 (구월동)",PC,6,인터넷컴퓨터게임시설제공업,2024-02-22,126.726333462404,37.4502973306307
72,73,레드 PC,"인천광역시 남동구 남동대로922번길 36, 크리스탈빌딩 102호 (간석동)",PC,6,인터넷컴퓨터게임시설제공업,2024-02-22,126.710284952891,37.4646572132886
73,74,대박PC,"인천광역시 남동구 인주대로763번길 49, 104호 (구월동)",PC,7,인터넷컴퓨터게임시설제공업,2024-02-22,126.722043150888,37.4513515923437
74,75,탑 PC클럽,"인천광역시 남동구 경인로 611, 간석오피앙 1층 107호 (간석동)",PC,6,인터넷컴퓨터게임시설제공업,2024-02-22,126.705590957184,37.4654805763603
75,76,브리즈PC카페,"인천광역시 남동구 예술로 126, B101, B109, B111, B114호 (구월동)",PC,320,인터넷컴퓨터게임시설제공업,2024-02-22,126.700886698924,37.4451295490218
76,77,듀오PC방 인천서창점,"인천광역시 남동구 서창방산로 51, 3층 306,307호 (서창동)",PC,100,인터넷컴퓨터게임시설제공업,2024-02-22,126.75020066735,37.4223446114383
77,78,대박 PC,"인천광역시 남동구 남동대로916번길 28, 1층 일부호 (간석동)",PC,6,인터넷컴퓨터게임시설제공업,2024-02-22,126.709816704026,37.4638814673161
78,79,인디 PC 간석역점,"인천광역시 남동구 석정로 515, 3층 306호 (간석동)",PC,81,인터넷컴퓨터게임시설제공업,2024-02-22,126.692900337194,37.465961851883
79,80,여왕PC,"인천광역시 남동구 남동대로921번길 17, 1층 일부호 (간석동)",PC,5,인터넷컴퓨터게임시설제공업,2024-02-22,126.706978074282,37.4647469091571
80,81,스타 PC,"인천광역시 남동구 문화서로4번길 41-5, 1층 101호 (구월동)",PC,5,인터넷컴퓨터게임시설제공업,2024-02-22,126.697168766297,37.445077553681
81,82,골드 PC방,"인천광역시 남동구 용천로 9, 1층 1호 (구월동)",PC,5,인터넷컴퓨터게임시설제공업,2024-02-22,126.714016152794,37.4503225884643
82,83,별 PC,"인천광역시 남동구 소래역로 42, 소래타워 1층 103호 (논현동)",PC,7,인터넷컴퓨터게임시설제공업,2024-02-22,126.734958326094,37.4008288308108
83,84,올레 PC,"인천광역시 남동구 호구포로790번길 35, 1층 3호 (구월동)",PC,8,인터넷컴퓨터게임시설제공업,2024-02-22,126.721099209824,37.4527602611136
84,85,대박 PC,"인천광역시 남동구 남동서로236번길 30, 논현2차푸르지오시티 1층 104호 (논현동)",PC,8,인터넷컴퓨터게임시설제공업,2024-02-22,126.695111543923,37.4095689846042
85,86,아이센스리그 PC방 인천구월본점,"인천광역시 남동구 구월남로 216, 가나프라자 401~402호 (구월동)",PC,94,인터넷컴퓨터게임시설제공업,2024-02-22,126.713438146189,37.452498570595
86,87,아우디 PC,"인천광역시 남동구 논현로46번길 14, 리더스프라자 1층 103호 (논현동)",PC,7,인터넷컴퓨터게임시설제공업,2024-02-22,126.710675275788,37.401806274783
87,88,아이센스리그 PC방 인천호구포점,"인천광역시 남동구 호구포로 219, 세중프라자 2층 201~202호 (논현동)",PC,109,인터넷컴퓨터게임시설제공업,2024-02-22,126.709566372347,37.4026077147428
88,89,스타덤 PC 인천서창점,"인천광역시 남동구 장아산로 134-4, 3층 301~302호 (서창동)",PC,70,인터넷컴퓨터게임시설제공업,2024-02-22,126.749138483828,37.4391090695616
