,연번,상호명,소재지주소,전화번호,데이터기준일자,lat,lon
0,1,에이치디현대오일뱅크㈜직영 수인주유소,인천광역시 남동구 백범로 255 (구월동),032-466-7001,2024-02-22,126.720823763719,37.4605801067242
1,2,㈜박문석유 구월주유소,인천광역시 남동구 인주대로 512 (구월동),032-422-5455,2024-02-22,126.693453909494,37.4500893099746
2,3,에이치디현대오일뱅크㈜직영 만수동셀프주유소,인천광역시 남동구 구월로 371 (만수동),032-464-6993,2024-02-22,126.73199640945,37.4552964111788
3,4,현대주유소,인천광역시 남동구 백범로 85 (만수동),032-461-2277,2024-02-22,126.736461497391,37.4524818741483
4,5,㈜중앙에너비스 남동공단지점,인천광역시 남동구 남동대로 258 (논현동),032-816-5151,2024-02-22,126.700261426448,37.407383311184
5,6,에이치디현대오일뱅크㈜직영 공단1주유소,인천광역시 남동구 남동대로 367 (남촌동),032-812-4162,2024-02-22,126.705646335938,37.4161526477687
6,7,현대오일뱅크 고잔주유소,인천광역시 남동구 논현고잔로 156 (고잔동),032-446-4000,2024-02-22,126.715590502739,37.3964834489281
7,8,한사랑주유소,인천광역시 남동구 인주대로 774 (구월동),032-462-5429,2024-02-22,126.723212001416,37.4486111174486
8,9,㈜유카스에너지,인천광역시 남동구 장수로 2-2 (장수동),032-465-0775,2024-02-22,126.749816392176,37.4495515278761
9,10,인주대로주유소(구 삼보주유소),인천광역시 남동구 인주대로 858 (만수동),032-465-1011,2024-02-22,126.732628626501,37.4480966034449
10,11,농장주유소,인천광역시 남동구 호구포로 806 (구월동),032-468-0257,2024-02-22,,
11,12,㈜정해네트웍스 남동하이웨이주유소,인천광역시 남동구 만월로 22 (간석동),032-516-4554,2024-02-22,126.721053309626,37.4680694733125
12,13,보문주유소,인천광역시 남동구 인주대로 709 (구월동),032-472-5189,2024-02-22,126.716176253874,37.4495598641141
13,14,KH에너지㈜직영 수림공원주유소,인천광역시 남동구 경인로 558 (간석동),032-429-5018,2024-02-22,126.700732476904,37.4625949661282
14,15,고미에너지딜리버리㈜인천지점,인천광역시 남동구 주안로 270 (간석동),032-428-0001,2024-02-22,126.699882581645,37.4628780700615
15,16,정해주유소,인천광역시 남동구 백범로 471 (간석동),032-434-6113,2024-02-22,126.698590150627,37.4684833758716
16,17,신향주유소,인천광역시 남동구 인주대로 696 (구월동),032-472-5104,2024-02-22,126.714252581033,37.4488364923709
17,18,서일석유㈜남동서일주유소,인천광역시 남동구 인주대로 759 (구월동),032-466-8853,2024-02-22,126.721504540188,37.4492723228839
18,19,KH에너지㈜직영 문광주유소,인천광역시 남동구 인주대로 810 (구월동),032-575-5100,2024-02-22,126.727221725786,37.4483136455548
19,20,신화상사㈜ 주원고개주유소,인천광역시 남동구 백범로 423 (간석동),032-433-4392,2024-02-22,126.70420938283,37.4673540162003
20,21,에이치디현대오일뱅크㈜직영 광장셀프주유소,인천광역시 남동구 주안로 264 (간석동),032-422-5182,2024-02-22,126.699221182661,37.4628883718965
21,22,서일석유(주)수정주유소,인천광역시 남동구 남동대로 462 (남촌동),032-467-5050,2024-02-22,126.71017735542,37.4237554369043
22,23,서창I·C주유소,인천광역시 남동구 남동대로 559 (남촌동),032-815-9055,2024-02-22,126.707723267872,37.4322849711319
23,24,만수광해주유소,인천광역시 남동구 백범로 5 (만수동),032-472-3588,2024-02-22,126.744760832279,37.4500566370926
24,25,에이치디현대오일뱅크㈜직영 공단2주유소,인천광역시 남동구 인주대로 879 (만수동),032-471-2000,2024-02-22,126.735055615844,37.4485238324354
25,26,수림주유소,인천광역시 남동구 앵고개로 463 (고잔동),032-817-8781,2024-02-22,126.691735707978,37.3978533120108
26,27,남동농협주유소,인천광역시 남동구 비류대로 811 (도림동),032-422-5159,2024-02-22,126.725409700698,37.422055273319
27,28,하이웨이주유소,인천광역시 남동구 수현로 117 (만수동),032-469-0001,2024-02-22,126.739163930769,37.4632017806921
28,29,동윤주유소,인천광역시 남동구 소래로 446 (수산동),032-468-5121,2024-02-22,126.734125875319,37.4300288161863
29,30,SK에너지㈜ 논현제일self주유소,인천광역시 남동구 호구포로 622 (수산동),032-467-5188,2024-02-22,126.718274078902,37.4377862255412
30,31,메트로다솜주유소,인천광역시 남동구 논현고잔로 141 (고잔동),032-437-5151,2024-02-22,126.713901379771,37.3957046779526
31,32,㈜태평석유직영 동성제2주유소,인천광역시 남동구 청능대로 460 (고잔동),032-437-5185,2024-02-22,126.710417362962,37.3984190758578
32,33,지에스칼텍스㈜ 논현신도시주유소,인천광역시 남동구 논고개로 253 (도림동),032-442-5189,2024-02-22,126.725509247078,37.4129193824095
33,34,지에스칼텍스㈜ 청능대로주유소,인천광역시 남동구 논현고잔로 114 (고잔동),032-427-9530,2024-02-22,126.713552419787,37.3933600117242
34,35,디와이에너지㈜도림주유소,인천광역시 남동구 청능대로 469 (고잔동),032-424-5145,2024-02-22,126.711326265095,37.3992461807886
35,36,에스제이에너지주유소,인천광역시 남동구 청능대로 542 (고잔동),032-432-0241,2024-02-22,126.71979769472,37.3996777841035
36,37,동일석유(주)남동클린주유소,인천광역시 남동구 논고개로 252 (도림동),032-441-5144,2024-02-22,126.726205763223,37.4130392108618
37,38,구월아시아드주유소,인천광역시 남동구 아암대로 1171 (고잔동),032-814-5185,2024-02-22,126.698053690081,37.3856269237584
38,39,㈜장원오일 남동지점 좋은주유소,인천광역시 남동구 호구포로 78 (고잔동),032-813-9800,2024-02-22,126.702447105838,37.391047333196
39,40,선수촌주유소,인천광역시 남동구 호구포로 725 (구월동),032-465-8300,2024-02-22,126.71810440313,37.4471726546002
40,41,에이치디현대오일뱅크㈜직영 논현셀프주유소,인천광역시 남동구 앵고개로676 (고잔동),032-432-4430,2024-02-22,126.712527116716,37.3890186629797
41,42,동일석유㈜ 행복드림주유소,인천광역시 남동구 매소홀로 810 (구월동),032-466-7455,2024-02-22,126.712464453301,37.4385136789786
42,43,삼미상사㈜ 서창셀프주유소,인천광역시 남동구 소래로 233 (논현동),032-428-5151,2024-02-22,126.738346310557,37.4113176485911
43,44,삼미상사㈜남촌도림셀프주유소,인천광역시 남동구 서창방산로 112 (서창동),032-469-5189,2024-02-22,126.756652935622,37.4246960247922
